alpha,beta,r2,nobs,year_month,observations,stock,method
-0.0007043639704332914,1.4751347621911504,0.5249638995041166,18,2025-01-01,18,TCL中环,contemporaneous
0.0027140320794732326,1.4947396189477855,0.41832589120941044,18,2025-02-01,18,TCL中环,contemporaneous
-0.00030850495952155143,0.21395850047407186,0.00669272442161295,21,2025-03-01,21,TCL中环,contemporaneous
-0.005158672109997497,1.1740104266442533,0.5149681046863845,21,2025-04-01,21,TCL中环,contemporaneous
-0.001897779930254417,1.4271109253839742,0.5375396354877331,19,2025-05-01,19,TCL中环,contemporaneous
-0.0009072371073903364,1.2993945296748695,0.3366429111078173,20,2025-06-01,20,TCL中环,contemporaneous
-0.0014681988217403845,2.8542208210235467,0.43232949052341274,23,2025-07-01,23,TCL中环,contemporaneous
-0.0024795498311255553,0.8274979501876802,0.24326004077961172,21,2025-08-01,21,TCL中环,contemporaneous
0.00200642576564951,1.4268695154651598,0.1651103328656438,22,2025-09-01,22,TCL中环,contemporaneous
0.0029027930707786185,1.4525177967634795,0.40095482012545436,17,2025-10-01,17,TCL中环,contemporaneous
0.002028033814741953,1.588312815683643,0.20501559060554742,20,2025-11-01,20,TCL中环,contemporaneous
-0.004968506968171969,1.1105433591397111,0.2563659373522995,23,2025-12-01,23,TCL中环,contemporaneous
0.001992285588496687,1.2307556516361902,0.41112980522548415,18,2025-01-01,18,TCL科技,contemporaneous
-0.005162669671827351,0.6988745688662734,0.2788282042565774,18,2025-02-01,18,TCL科技,contemporaneous
-0.0017063550798628842,0.6654332287943985,0.1744237085930681,21,2025-03-01,21,TCL科技,contemporaneous
-0.001265950461072206,1.2998189896891843,0.6531296857630573,21,2025-04-01,21,TCL科技,contemporaneous
0.0007357690438553398,0.985360637002542,0.17737248018939866,19,2025-05-01,19,TCL科技,contemporaneous
0.000122710255153632,0.3986426546399744,0.06206450902490124,20,2025-06-01,20,TCL科技,contemporaneous
-0.0010878154871891224,1.5516976194701655,0.3303267743775802,23,2025-07-01,23,TCL科技,contemporaneous
-0.001747257482755251,0.9243948352251788,0.3110051583905338,21,2025-08-01,21,TCL科技,contemporaneous
-0.004304391573738577,0.7185509058791653,0.26034506039315264,22,2025-09-01,22,TCL科技,contemporaneous
8.033385366836227e-05,0.9343244876378471,0.4616896932226069,17,2025-10-01,17,TCL科技,contemporaneous
-0.0014773534056636757,0.8976122128337443,0.43013119977312175,20,2025-11-01,20,TCL科技,contemporaneous
0.004133203551333588,0.5552067948209221,0.054383062329870224,23,2025-12-01,23,TCL科技,contemporaneous
-0.0004714617453496204,1.1062692349387988,0.8280580355252741,18,2025-01-01,18,一汽解放,contemporaneous
-8.77540087771369e-05,0.850234469640434,0.4093868843192462,18,2025-02-01,18,一汽解放,contemporaneous
0.0007497700751221649,0.45171577565458376,0.20227153104411066,21,2025-03-01,21,一汽解放,contemporaneous
-0.003384732084781264,1.4058622707880808,0.8746439119538407,21,2025-04-01,21,一汽解放,contemporaneous
-0.0009103983535556364,0.8951606658406852,0.25271362868241254,19,2025-05-01,19,一汽解放,contemporaneous
-0.0026481626519103945,0.5580655967542818,0.12569150864597056,20,2025-06-01,20,一汽解放,contemporaneous
-0.0011876003196774447,1.2305342997892397,0.40312636736140284,23,2025-07-01,23,一汽解放,contemporaneous
-0.0021867418515258887,0.7655748125079926,0.12941746717400127,21,2025-08-01,21,一汽解放,contemporaneous
-0.0009829789378625628,0.06500112027450729,0.014212856521426898,22,2025-09-01,22,一汽解放,contemporaneous
0.0014380897829699383,0.2524736895110531,0.12319795348491702,17,2025-10-01,17,一汽解放,contemporaneous
0.0003238549766542657,0.304481152011938,0.12291433738534341,20,2025-11-01,20,一汽解放,contemporaneous
-0.002897014513930718,0.5206581038801081,0.14195177077507892,23,2025-12-01,23,一汽解放,contemporaneous
-0.0011631388133399524,0.6130887836136808,0.27639093198959575,18,2025-01-01,18,万华化学,contemporaneous
0.0001217544013918145,0.23120106538191432,0.014302418377469928,18,2025-02-01,18,万华化学,contemporaneous
-0.0010295269856319738,0.799333017285391,0.2246138503675038,21,2025-03-01,21,万华化学,contemporaneous
-0.007949935321779898,1.2901955563000747,0.6584515907768264,21,2025-04-01,21,万华化学,contemporaneous
-0.0012731054942003287,1.7952358319270285,0.6320596902478435,19,2025-05-01,19,万华化学,contemporaneous
-0.0008401659149984175,0.7739412023796967,0.29182349697905674,20,2025-06-01,20,万华化学,contemporaneous
0.0032500697699505542,2.0042157753164,0.22821069713496756,23,2025-07-01,23,万华化学,contemporaneous
0.000450069392728993,0.9007909642768491,0.2598190551012276,21,2025-08-01,21,万华化学,contemporaneous
-0.0029773361532605845,1.2141099502058976,0.4040235921125993,22,2025-09-01,22,万华化学,contemporaneous
-0.003491427247278499,0.4542632037344764,0.12086925974680107,17,2025-10-01,17,万华化学,contemporaneous
0.005137697317385017,1.194725788606708,0.23187963642124476,20,2025-11-01,20,万华化学,contemporaneous
0.004752718558463409,1.1797198779116569,0.23479747575887833,23,2025-12-01,23,万华化学,contemporaneous
-0.000846598044878056,0.5208612693581908,0.07862478369520876,18,2025-01-01,18,万泰生物,contemporaneous
-0.00011718826953730464,-0.39439031529889845,0.021657979991025034,18,2025-02-01,18,万泰生物,contemporaneous
-0.002124379403398731,0.8803252862665012,0.4560415459905023,21,2025-03-01,21,万泰生物,contemporaneous
0.0018380205411135287,0.525490195743946,0.2292320346101575,21,2025-04-01,21,万泰生物,contemporaneous
0.002416219853459512,0.7796765855638388,0.08503228800205143,19,2025-05-01,19,万泰生物,contemporaneous
-0.00737075395323734,1.2109158359026528,0.04485856235715524,20,2025-06-01,20,万泰生物,contemporaneous
-0.0020026338591308157,0.1750164420457037,0.007157900461898903,23,2025-07-01,23,万泰生物,contemporaneous
-0.006828715990040545,1.4985199978937713,0.46617890719518273,21,2025-08-01,21,万泰生物,contemporaneous
-0.0028224869273634316,0.8622236208561318,0.3809127779329693,22,2025-09-01,22,万泰生物,contemporaneous
-0.00012201753846096427,0.27429815383639855,0.06360331173527745,17,2025-10-01,17,万泰生物,contemporaneous
-0.007656425184633892,0.21638059863272527,0.02927227612762484,20,2025-11-01,20,万泰生物,contemporaneous
-0.0038042411372308698,0.9956028393266091,0.31372402654829,23,2025-12-01,23,万泰生物,contemporaneous
0.0025978478073196876,1.2819542843602167,0.21902397397986306,18,2025-01-01,18,万科A,contemporaneous
0.0019344964061101325,1.9579007533342365,0.2972989855497461,18,2025-02-01,18,万科A,contemporaneous
-0.0044000724236014895,0.98479104368755,0.31262061486459736,21,2025-03-01,21,万科A,contemporaneous
0.00010643278335380722,1.1253681916215303,0.6128004400225531,21,2025-04-01,21,万科A,contemporaneous
-0.0019196086023113247,0.6163645782154529,0.29288587870065086,19,2025-05-01,19,万科A,contemporaneous
-0.0029004012171442387,1.0042866802732058,0.39159261924037125,20,2025-06-01,20,万科A,contemporaneous
-0.002019969284982698,1.4704344759830135,0.3501135667759554,23,2025-07-01,23,万科A,contemporaneous
-0.005171561392819264,1.6807934466183743,0.40601286732022834,21,2025-08-01,21,万科A,contemporaneous
0.00015183585351145982,0.4360737376987119,0.07300270289600863,22,2025-09-01,22,万科A,contemporaneous
-0.005499838817366135,0.19725989522429432,0.08375758310577086,17,2025-10-01,17,万科A,contemporaneous
-0.007238448173842359,0.1770308168683186,0.007311644486866609,20,2025-11-01,20,万科A,contemporaneous
-0.005969545686739431,0.008564411802873428,4.904490489732183e-06,23,2025-12-01,23,万科A,contemporaneous
0.000883441684688411,1.2458003523683074,0.583552692831378,18,2025-01-01,18,三一重工,contemporaneous
0.006131105727121998,0.8020562518873854,0.153375631956703,18,2025-02-01,18,三一重工,contemporaneous
0.002389688680621401,0.8346229304937639,0.13329096423479692,21,2025-03-01,21,三一重工,contemporaneous
0.0009116998064003369,0.895828318773981,0.5552955118118841,21,2025-04-01,21,三一重工,contemporaneous
-0.000903788477559653,0.841464977677141,0.14215794264863735,19,2025-05-01,19,三一重工,contemporaneous
-0.0021190597529730697,0.6222696452167222,0.12217352825170802,20,2025-06-01,20,三一重工,contemporaneous
0.0016786101454671597,2.0878399617686183,0.22675909592465104,23,2025-07-01,23,三一重工,contemporaneous
0.00042060926439946083,0.46996178698500835,0.07886328088115702,21,2025-08-01,21,三一重工,contemporaneous
0.0035534992120963855,0.7774623037883638,0.20042311529979295,22,2025-09-01,22,三一重工,contemporaneous
-0.0019660945778852026,0.8236078240484306,0.31510999878669577,17,2025-10-01,17,三一重工,contemporaneous
-0.003380095254463668,0.6359035527500682,0.11513026205424426,20,2025-11-01,20,三一重工,contemporaneous
0.0011030623351158517,0.6750886820744818,0.12324621344196951,23,2025-12-01,23,三一重工,contemporaneous
-0.0003876844970402283,1.4000573055725558,0.8059860666321247,18,2025-01-01,18,三七互娱,contemporaneous
-0.0010237813421636924,1.9450289312280247,0.5989279830660605,18,2025-02-01,18,三七互娱,contemporaneous
-0.0005230613740792064,1.1571114433666398,0.5226680173790018,21,2025-03-01,21,三七互娱,contemporaneous
0.003139936169599374,1.3700240715907632,0.6076155578083487,21,2025-04-01,21,三七互娱,contemporaneous
-0.00019008808984683758,0.47705097942879116,0.08847414390398523,19,2025-05-01,19,三七互娱,contemporaneous
0.008508780250252793,-0.046650992264123836,0.0001746099815596036,20,2025-06-01,20,三七互娱,contemporaneous
-0.00313070446191303,1.1422216654545367,0.060005087439611415,23,2025-07-01,23,三七互娱,contemporaneous
0.009492067508406109,-0.23296493128427323,0.007281092055693383,21,2025-08-01,21,三七互娱,contemporaneous
0.0045770467180840406,0.6729349297293896,0.037143586185474864,22,2025-09-01,22,三七互娱,contemporaneous
-0.002361071153483914,1.3382096092265292,0.40123128552442056,17,2025-10-01,17,三七互娱,contemporaneous
0.001014191224474327,0.45957424642203126,0.017539240860414473,20,2025-11-01,20,三七互娱,contemporaneous
0.004567068814589391,1.5689878654267808,0.33992241434140846,23,2025-12-01,23,三七互娱,contemporaneous
0.007727244744360687,2.0269762934639037,0.4356667494649341,18,2025-01-01,18,三六零,contemporaneous
-0.0014612442645667541,2.230892141651366,0.2035837328415726,18,2025-02-01,18,三六零,contemporaneous
-0.0030019938735322015,1.581286558237911,0.4326400795988178,21,2025-03-01,21,三六零,contemporaneous
0.0015402202488290445,1.4140374169857644,0.6937004638526114,21,2025-04-01,21,三六零,contemporaneous
-0.0023312966617179,1.8845359462115225,0.31948268200101004,19,2025-05-01,19,三六零,contemporaneous
-0.0012046913093916134,1.8251518328504868,0.4734456646469981,20,2025-06-01,20,三六零,contemporaneous
0.006887118483643209,-1.4404467364714146,0.15298205946496324,23,2025-07-01,23,三六零,contemporaneous
-0.004211450364452871,1.188725656127999,0.33023434879945845,21,2025-08-01,21,三六零,contemporaneous
-0.002591727803181735,1.4195110602445926,0.39512267794429123,22,2025-09-01,22,三六零,contemporaneous
0.0037873407056787387,0.41520800346144054,0.026193189959350494,17,2025-10-01,17,三六零,contemporaneous
0.008764284535669582,1.0788991930289382,0.04577326944844062,20,2025-11-01,20,三六零,contemporaneous
-0.009262402063410027,0.9070921655978816,0.08971065720933902,23,2025-12-01,23,三六零,contemporaneous
-0.0009011226272988162,0.7740543586560171,0.7341420099204738,18,2025-01-01,18,三峡能源,contemporaneous
-0.0006325268919842972,0.6146402079855051,0.6939076651869406,18,2025-02-01,18,三峡能源,contemporaneous
0.0003439298373568668,0.22526584494201732,0.10086732166071033,21,2025-03-01,21,三峡能源,contemporaneous
0.0011595790038957045,0.5675605504310145,0.48933696753322575,21,2025-04-01,21,三峡能源,contemporaneous
0.00032450134043962185,0.05416097024330853,0.004803580426368748,19,2025-05-01,19,三峡能源,contemporaneous
-0.0006536627542696201,0.2449704398965241,0.18144971436470247,20,2025-06-01,20,三峡能源,contemporaneous
-0.00016861059784090073,0.5874444247255888,0.24146143765948136,23,2025-07-01,23,三峡能源,contemporaneous
-0.0018054947193825743,0.3536292961433441,0.39677505382154576,21,2025-08-01,21,三峡能源,contemporaneous
-8.225115987967838e-05,0.07062769166216892,0.016562682266031303,22,2025-09-01,22,三峡能源,contemporaneous
5.2314278627285877e-05,0.3106572633361497,0.1137549687435142,17,2025-10-01,17,三峡能源,contemporaneous
-0.0005335061584141182,0.23974380049027771,0.2682588018588179,20,2025-11-01,20,三峡能源,contemporaneous
-0.0011073832843384718,0.17037834934698942,0.22751002143238397,23,2025-12-01,23,三峡能源,contemporaneous
0.0011858168972981825,1.1448704488521255,0.37267741020241063,18,2025-01-01,18,三环集团,contemporaneous
0.00025003962785682043,1.3845788050552428,0.2500043198762698,18,2025-02-01,18,三环集团,contemporaneous
0.0009886734738531102,0.6214295091532345,0.12063986896177337,21,2025-03-01,21,三环集团,contemporaneous
-0.005338907254520011,0.940983491061304,0.41031855980742415,21,2025-04-01,21,三环集团,contemporaneous
-0.0033844482301924692,0.926938030034392,0.21107495262129006,19,2025-05-01,19,三环集团,contemporaneous
0.00017600637728989966,1.2492012878651584,0.24765844530456593,20,2025-06-01,20,三环集团,contemporaneous
-0.0027287924288874263,1.60688141660258,0.29179071663457434,23,2025-07-01,23,三环集团,contemporaneous
0.010805464630394383,0.7833357780636234,0.03395991830199396,21,2025-08-01,21,三环集团,contemporaneous
-0.0002635963331569409,2.0611351476896846,0.3243165867129255,22,2025-09-01,22,三环集团,contemporaneous
0.004964556931925632,2.80253215726427,0.5786964684734037,17,2025-10-01,17,三环集团,contemporaneous
